,TRANS_CIS,WEIGHT_CISGENDER_TRANSPOP,Q88,HINC_I,AGE,Q85,RACE_RECODE_CAT5,Q93,SEX,GENDER_IDENTITY,POVERTYCAT_I,Q99,Q200,Q205_I,GEDUCATION,HINC_I_means,HINC_I_strat,CURRENT_SEX
467,0,0.9413410418926,0,12,-0.13539356204040107,0,1,4,0,1,4,0,0,2,3,1.1564240988051058,2,0
468,0,4.8889318489036,0,2,-0.07599399805284615,0,2,2,0,1,1,0,1,1,2,-1.316443321823278,0,0
469,0,0.5526163241975,0,5,1.111997281698252,1,1,5,1,2,2,0,0,1,6,-1.0007581191898673,0,1
470,0,0.6520858804323,0,8,0.042805129922263666,1,1,2,1,2,2,0,1,6,4,-0.5272303152397513,0,1
471,0,0.4779824092998,1,5,0.9931981537231422,1,1,2,1,2,2,1,1,2,4,-1.0007581191898673,0,1
472,0,1.4301353135314,0,13,-0.19479312602795598,1,1,4,0,1,4,0,1,4,5,1.6825661031941237,2,0
473,0,0.3076639972989,0,7,0.6368007697978127,0,4,4,1,2,2,0,1,3,6,-0.7376871169953584,0,1
474,0,1.5145091034872,0,12,0.16160425789737348,1,1,3,0,1,4,0,1,3,5,1.1564240988051058,2,0
475,0,0.4872852778818,1,12,0.10220469390981857,0,1,4,1,2,4,0,1,4,6,1.1564240988051058,2,1
476,0,0.5000759412997,0,2,0.2210038218849284,1,1,3,1,2,1,1,1,2,1,-1.316443321823278,0,1
477,0,0.7323138741734,1,9,-0.7887887659035051,0,1,3,0,1,2,0,1,5,4,-0.3167735134841442,1,0
478,0,0.8163379239897,0,3,0.5774012058102579,1,1,2,1,2,1,1,1,0,6,-1.2112149209454746,0,1
479,0,2.5398144081265,0,5,-1.1451861498288345,0,1,5,0,1,2,1,1,3,2,-1.0007581191898673,0,0
480,0,0.3395303911571,0,6,0.10220469390981857,1,1,3,1,2,3,1,1,1,4,-0.8955297183120637,0,1
481,0,0.3807738428618,0,9,0.6368007697978127,1,1,4,1,2,4,1,1,1,6,-0.3167735134841442,1,1
482,0,0.5866147750498,0,13,0.9337985897355873,1,1,4,1,2,4,0,1,2,4,1.6825661031941237,2,1
483,0,0.4733283607299,0,7,1.111997281698252,1,1,3,0,1,3,0,1,2,5,-0.7376871169953584,0,0
484,0,1.4507230963294,0,7,-1.5015835337541639,1,4,2,1,2,3,0,1,2,5,-0.7376871169953584,0,1
485,0,3.4971430301703,1,3,-0.6699896379283953,0,1,4,0,1,1,0,1,5,2,-1.2112149209454746,0,0
486,0,0.5886639554602,0,3,-0.49179094596573053,1,1,2,1,2,1,0,1,3,6,-1.2112149209454746,0,1
487,0,0.5300172795815,0,9,1.111997281698252,1,1,3,0,1,4,1,1,2,6,-0.3167735134841442,1,0
488,0,0.4527340335991,0,5,0.7555998977729226,1,1,3,0,1,2,0,0,1,4,-1.0007581191898673,0,0
489,0,2.5205139117648,1,10,-1.442183969766609,1,1,3,1,2,4,0,0,2,4,-0.053702511289635234,1,1
490,0,4.4452931365105,0,7,1.111997281698252,1,2,3,0,1,3,0,1,2,4,-0.7376871169953584,0,0
491,0,0.6528047123217,0,11,0.042805129922263666,1,1,5,1,2,4,0,1,2,5,0.2619826913437755,1,1
492,0,0.5209788668437,0,12,1.052597717710697,1,1,4,0,1,4,0,1,2,5,1.1564240988051058,2,0
493,0,2.7454079839713,1,5,-1.9767800456546032,0,1,4,1,2,1,0,0,10,4,-1.0007581191898673,0,1
494,0,1.6204688148735,0,11,-1.0263870218537248,0,1,3,0,1,3,0,1,5,6,0.2619826913437755,1,0
495,0,3.2336085672844,0,10,-0.7293892019159501,1,2,3,0,1,2,0,1,6,4,-0.053702511289635234,1,0
496,0,0.8480144276856,0,11,-1.2639852778039444,0,1,3,0,1,4,0,0,2,6,0.2619826913437755,1,0
497,0,1.8628125377893,0,3,1.111997281698252,1,2,2,1,2,2,1,1,1,1,-1.2112149209454746,0,1
498,0,0.2460904762555,0,11,1.052597717710697,1,1,4,1,2,4,0,1,3,5,0.2619826913437755,1,1
499,0,1.5923960566984,0,8,1.111997281698252,1,1,3,0,1,3,0,1,2,3,-0.5272303152397513,0,0
500,0,2.4874627703969,0,3,1.111997281698252,0,2,3,1,2,1,0,1,2,2,-1.2112149209454746,0,1
502,0,0.5867719793217,0,10,1.052597717710697,1,1,4,1,2,4,1,1,2,5,-0.053702511289635234,1,1
503,0,1.0083091044665,0,5,1.111997281698252,1,1,4,1,2,2,0,1,1,2,-1.0007581191898673,0,1
504,0,0.9539319693716,0,11,0.2804033858724833,1,1,3,1,2,4,0,1,2,4,0.2619826913437755,1,1
505,0,0.3273471644702,1,9,-0.07599399805284615,1,4,4,0,1,4,0,0,2,4,-0.3167735134841442,1,0
507,0,1.1030388005174,0,2,1.111997281698252,1,1,4,1,2,1,0,1,1,2,-1.316443321823278,0,1
508,0,0.6170202312628,0,6,0.6962003337853676,1,1,4,1,2,3,0,0,1,5,-0.8955297183120637,0,1
509,0,0.5559225713271,0,7,0.8743990257480324,1,1,3,0,1,3,0,1,1,5,-0.7376871169953584,0,0
